"","shape","PIP","ES vir","repeller?","repeller vir","hyper vir?","upper erad?","upper erad vir","lower erad?","lower erad vir","mid.erad.lower?","mid.erad.lower.vir","mid.erad.upper?","mid.erad.upper.vir"
"data","-2","ESS","0.14955",NA,NA,NA,NA,NA,"lower.erad","0.015",NA,NA,NA,NA
"data","-1","ESS","0.075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.01","ESS","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.0177827941003892","ESS","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.0316227766016838","ESS","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.0562341325190349","ESS","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.1","ESS","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.177827941003892","ESS","0.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.316227766016838","ESS","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","0.562341325190349","ESS","0.085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","1","ESS","0.10155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data","1.77827941003892","ESS","0.11405",NA,NA,NA,NA,NA,"lower.erad","0.005",NA,NA,NA,NA
"data","3.16227766016838","ESS","0.12455",NA,NA,NA,NA,NA,"lower.erad","0.01",NA,NA,NA,NA
"data","5.62341325190349","ESS","0.13305",NA,NA,NA,NA,NA,"lower.erad","0.01",NA,NA,NA,NA
"data","10","ESS","0.13955",NA,NA,NA,NA,NA,"lower.erad","0.015",NA,NA,NA,NA
"data","17.7827941003892","ESS","0.14355",NA,NA,NA,NA,NA,"lower.erad","0.015",NA,NA,NA,NA
"data","31.6227766016838","ESS","0.14605",NA,NA,NA,NA,NA,"lower.erad","0.015",NA,NA,NA,NA
"data","56.2341325190349","ESS","0.14755",NA,NA,NA,NA,NA,"lower.erad","0.015",NA,NA,NA,NA
"data","100","ESS","0.14855",NA,NA,NA,NA,NA,"lower.erad","0.015",NA,NA,NA,NA
